{'day': 1, 'time': datetime.time(14, 15), 'talkId': 35, 'parallelSesh': 1}
{'day': 1, 'time': datetime.time(14, 30), 'talkId': 18, 'parallelSesh': 1}
{'day': 1, 'time': datetime.time(15, 30), 'talkId': 15, 'parallelSesh': 2}
{'day': 1, 'time': datetime.time(16, 45), 'talkId': 29, 'parallelSesh': 1}
{'day': 1, 'time': datetime.time(17, 0), 'talkId': 5, 'parallelSesh': 3}
{'day': 2, 'time': datetime.time(10, 15), 'talkId': 40, 'parallelSesh': 2}
{'day': 2, 'time': datetime.time(10, 30), 'talkId': 7, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(10, 45), 'talkId': 13, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(10, 45), 'talkId': 2, 'parallelSesh': 3}
{'day': 2, 'time': datetime.time(11, 0), 'talkId': 37, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(11, 30), 'talkId': 39, 'parallelSesh': 2}
{'day': 2, 'time': datetime.time(11, 45), 'talkId': 27, 'parallelSesh': 2}
{'day': 2, 'time': datetime.time(13, 15), 'talkId': 24, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(13, 15), 'talkId': 26, 'parallelSesh': 2}
{'day': 2, 'time': datetime.time(14, 15), 'talkId': 6, 'parallelSesh': 2}
{'day': 2, 'time': datetime.time(15, 0), 'talkId': 10, 'parallelSesh': 3}
{'day': 2, 'time': datetime.time(15, 0), 'talkId': 3, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(15, 30), 'talkId': 32, 'parallelSesh': 3}
{'day': 2, 'time': datetime.time(16, 15), 'talkId': 1, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(16, 15), 'talkId': 8, 'parallelSesh': 2}
{'day': 2, 'time': datetime.time(17, 0), 'talkId': 36, 'parallelSesh': 2}
{'day': 2, 'time': datetime.time(18, 0), 'talkId': 16, 'parallelSesh': 3}
{'day': 2, 'time': datetime.time(18, 0), 'talkId': 20, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(18, 30), 'talkId': 23, 'parallelSesh': 3}
{'day': 2, 'time': datetime.time(9, 0), 'talkId': 30, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(9, 30), 'talkId': 14, 'parallelSesh': 1}
{'day': 2, 'time': datetime.time(9, 45), 'talkId': 11, 'parallelSesh': 2}
{'day': 3, 'time': datetime.time(13, 0), 'talkId': 21, 'parallelSesh': 1}
{'day': 3, 'time': datetime.time(13, 0), 'talkId': 25, 'parallelSesh': 3}
{'day': 3, 'time': datetime.time(13, 30), 'talkId': 22, 'parallelSesh': 2}
{'day': 3, 'time': datetime.time(13, 30), 'talkId': 38, 'parallelSesh': 3}
{'day': 3, 'time': datetime.time(13, 45), 'talkId': 17, 'parallelSesh': 3}
{'day': 3, 'time': datetime.time(14, 45), 'talkId': 9, 'parallelSesh': 3}
{'day': 3, 'time': datetime.time(16, 45), 'talkId': 19, 'parallelSesh': 2}
{'day': 3, 'time': datetime.time(16, 45), 'talkId': 28, 'parallelSesh': 3}
{'day': 3, 'time': datetime.time(17, 15), 'talkId': 31, 'parallelSesh': 3}
{'day': 3, 'time': datetime.time(17, 30), 'talkId': 33, 'parallelSesh': 3}
{'day': 3, 'time': datetime.time(17, 30), 'talkId': 4, 'parallelSesh': 1}
{'day': 3, 'time': datetime.time(18, 15), 'talkId': 12, 'parallelSesh': 2}
{'day': 3, 'time': datetime.time(18, 30), 'talkId': 34, 'parallelSesh': 1}
